number,author,data,commit-info,father_version,src_modify_file_num,src_hunk_num,src_add_lines_num,src_delete_lines_num,test_modify_file_num,test_hunk_num,test_add_lines_num,test_delete_lines_num,common_modify_file_num,common_hunk_num,common_add_lines_num,common_delete_lines_num,test_class_add_num,test_class_sub_num,test_class_modify_num,test_method_add_num,test_method_sub_num,test_method_modify_num,src_class_add_num,src_class_sub_num,src_class_modify_num,src_method_add_num,src_method_sub_num,src_method_modify_num
b6f1eed,Lukasz Lenart,2021-09-14 10:18:43 +0200,Ignores JDk16 build errors,ea63de342ff0792303c477f375b934ef0a04b93a,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6874ddc,Sebb,2021-04-23 00:18:04 +0100,Fix up old antrun syntax,692a78e648814374925091dc2cb140ab4373e70a,0,0,0,0,0,0,0,0,1,2,4,10,0,0,0,0,0,0,0,0,0,0,0,0
54e6c3b,Christian Grobmeier,2013-09-03 21:21:44 +0000,upgraded changes plugin as the old version threw errors,bede9ab0efc27a3855546a259199f732539a1728,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
5dafda1,Christian Grobmeier,2013-09-03 20:18:01 +0000,"fixed typo, updated copyright year",1430396fd90c8879a8397f42d13fc646ce36ca54,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0
70845ec,Sebastian Bazley,2013-05-31 16:27:54 +0000,Fix component name,9c58908effa98ba4b1c2022cad52635488caa740,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
9edf943,Simone Tripodi,2013-03-27 15:47:54 +0000,fixed rawtypes warnings,bf9227e6e354d7f931f3f290d33ca24e72e4e8aa,0,0,0,0,2,2,2,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0
bf9227e,Simone Tripodi,2013-03-27 15:45:59 +0000,stack overflow error due to methods signature collisions,18ef2d24b224e5d0fac26a9a1a1417fa6974a191,0,0,0,0,1,6,6,7,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0
18ef2d2,Simone Tripodi,2013-03-27 15:39:07 +0000,fixed rawtypes warnings trivial code format,d7d357642795293ba2503849540430cb1818f230,0,0,0,0,1,3,5,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
4ffb118,Sebastian Bazley,2013-03-22 17:49:27 +0000,Fix up URLs so they point to actual sites; this allows relative URLs to work properly,3a320a18f118974c4157c41fd65b1ad7140343af,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3691c98,Christian Grobmeier,2013-03-08 07:46:24 +0000,"added clirr report plugin, fixed line intention on plugin above",f68fc9ab4a08c0315e33bfe4e78bdb34398fa89a,0,0,0,0,0,0,0,0,1,1,14,10,0,0,0,0,0,0,0,0,0,0,0,0
8298f2b,Maurizio Cucchiara,2012-01-25 03:31:12 +0000,"Added a method to identify an eval expression (necessary to fix a security issue on struts, see https://cwiki.apache.org/confluence/display/WW/S2-009)",01506527ed6b82a1bac6a09607aaada93ddbb1f9,2,2,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
357b035,Maurizio Cucchiara,2011-11-04 09:16:35 +0000,Fixed code style,14dc11b5db8b858723cdd6e4abf7e44b06396630,1,4,17,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
14dc11b,Maurizio Cucchiara,2011-11-04 09:15:52 +0000,"OGNL-35 - CPD fix, extracted shared method getSourceBeanMethod() from getSourceSetter() and getSourceAccessor().",1efd4de1977ab38d00067ad01baab0408a37db23,1,7,36,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4
1efd4de,Maurizio Cucchiara,2011-11-04 09:13:17 +0000,Fixed code style,15ec0c0f3587ab44593a40adc4d37af31996f3a6,1,19,51,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
15ec0c0,Maurizio Cucchiara,2011-11-04 09:11:05 +0000,"OGNL-35 - CPD fix, extracted shared method getSourceString() from toGetSourceString() and toSetSourceString().",9975f710d3e8b931350e1444407b40664d3f9117,1,10,54,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
9975f71,Maurizio Cucchiara,2011-11-04 09:03:22 +0000,Fixed code style,2f2a22728cb73aaa42be4a5824298ba28df36df4,1,4,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
2f2a227,Maurizio Cucchiara,2011-11-04 09:01:49 +0000,"OGNL-35 - CPD fix, extracted getIndexString() from getSourceAccessor() and getSourceSetter().",b94cb5b2b05877a02a06f7c2e7c32c9a064198de,1,3,21,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
