"ab1b804","Gary Gregory","2022-02-16 15:04:52 -0500","Merge pull request #67 from apache/dependabot/maven/org.apache.maven.plugins-maven-pmd-plugin-3.16.0"
"b33af54","dependabot[bot]","2022-02-16 19:51:36 +0000","Bump maven-pmd-plugin from 3.15.0 to 3.16.0"
"bd79857","Gary Gregory","2022-02-04 07:56:23 -0500","Merge branch 'master' of https://gitbox.apache.org/repos/asf/commons-ognl.git"
"835267b","Gary Gregory","2022-02-03 07:02:22 -0500","Add CodeQL GitHub workflow."
"ea59568","Gary Gregory","2022-01-15 10:54:43 -0500","Bump maven-javadoc-plugin 3.2.0 from to 3.3.1."
"f966a8b","Gary Gregory","2022-01-15 10:52:14 -0500","Add RAT check and CLIRR check to default goal."
"134ea48","Gary Gregory","2022-01-15 10:50:35 -0500","Bump ognl from 3.3.0 to 3.3.2 #59."
"2a6f184","Gary Gregory","2022-01-15 10:50:00 -0500","Merge pull request #59 from apache/dependabot/maven/ognl-ognl-3.3.2"
"5427739","Gary Gregory","2022-01-15 10:49:35 -0500","Bump h2 from 2.0.202 to 2.0.206 #57."
"5ae20a0","Gary Gregory","2022-01-15 10:48:37 -0500","Merge pull request #57 from apache/dependabot/maven/com.h2database-h2-2.0.206"
"9b2330e","Gary Gregory","2022-01-15 10:48:20 -0500","Bump build-helper-maven-plugin from 3.2.0 to 3.3.0 #61."
"6b156dd","Gary Gregory","2022-01-15 10:46:12 -0500","Merge pull request #61 from apache/dependabot/maven/org.codehaus.mojo-build-helper-maven-plugin-3.3.0"
"f1f8741","dependabot[bot]","2022-01-14 19:46:56 +0000","Bump build-helper-maven-plugin from 3.2.0 to 3.3.0"
"8e8ba16","dependabot[bot]","2022-01-10 19:50:11 +0000","Bump ognl from 3.3.0 to 3.3.2"
"5f5de19","Lukasz Lenart","2022-01-10 20:39:42 +0100","Merge pull request #58 from apache/dependabot/maven/org.apache.maven.plugins-maven-jar-plugin-3.2.1"
"3e7f635","dependabot[bot]","2022-01-10 19:22:06 +0000","Bump maven-jar-plugin from 3.2.0 to 3.2.1"
"3c32ce3","dependabot[bot]","2022-01-05 19:20:17 +0000","Bump h2 from 2.0.202 to 2.0.206"
"9f46dba","Lukasz Lenart","2021-12-03 07:59:52 +0100","Merge pull request #54 from apache/dependabot/maven/com.h2database-h2-2.0.202"
"64dee6c","dependabot[bot]","2021-12-02 19:45:40 +0000","Bump h2 from 1.4.200 to 2.0.202"
"9268b64","Lukasz Lenart","2021-11-24 07:21:46 +0100","Merge pull request #53 from apache/dependabot/maven/ognl-ognl-3.3.0"
"11179fd","dependabot[bot]","2021-11-23 19:39:12 +0000","Bump ognl from 3.2.21 to 3.3.0"
"6804fd6","Lukasz Lenart","2021-11-03 06:37:08 +0100","Merge pull request #52 from apache/dependabot/github_actions/actions/checkout-2.4.0"
"96989b9","dependabot[bot]","2021-11-02 19:13:53 +0000","Bump actions/checkout from 2.3.5 to 2.4.0"
"96ddaf0","Lukasz Lenart","2021-10-18 08:27:30 +0200","Uses proper syntax for --add-opens"
"b7bc909","Lukasz Lenart","2021-10-18 08:24:14 +0200","Adds missing module"
"7b37e3d","Lukasz Lenart","2021-10-18 08:21:23 +0200","Uses single line arg"
"d256ba2","Lukasz Lenart","2021-10-18 08:19:23 +0200","Uses proper plugin name"
"c4f0df8","Lukasz Lenart","2021-10-18 08:12:44 +0200","Adds dedicated profile for Java 17"
"733783a","Lukasz Lenart","2021-10-18 08:06:08 +0200","Removes Java 17 from the main matrix"
"d7466f5","Lukasz Lenart","2021-10-18 08:05:32 +0200","Fixes typo in parameter name"
"a3d16c3","Lukasz Lenart","2021-10-18 08:03:58 +0200","Fixes broken expression"
"755e2d8","Lukasz Lenart","2021-10-18 08:01:52 +0200","Includes Java 17 with proper open modules"
"6432157","Lukasz Lenart","2021-10-17 14:29:06 +0200","Merge pull request #51 from apache/dependabot/github_actions/actions/checkout-2.3.5"
"49bf38f","dependabot[bot]","2021-10-15 19:04:34 +0000","Bump actions/checkout from 2.3.4 to 2.3.5"
"8f87ffb","Gary Gregory","2021-09-28 11:20:22 -0400","Update GitHub build from Java 16 to 17."
"b6f1eed","Lukasz Lenart","2021-09-14 10:18:43 +0200","Ignores JDk16 build errors"
"ea63de3","Lukasz Lenart","2021-09-14 07:32:11 +0200","Drops not-LTS version"
"c728660","Lukasz Lenart","2021-09-14 07:29:00 +0200","Merge pull request #36 from apache/dependabot/maven/org.javassist-javassist-3.28.0-GA"
"fda9160","Lukasz Lenart","2021-09-14 07:28:42 +0200","Merge pull request #35 from apache/dependabot/maven/org.easymock-easymock-4.3"
"0add26a","Lukasz Lenart","2021-09-14 07:28:28 +0200","Merge pull request #30 from apache/dependabot/maven/junit-junit-4.13.2"
"71c0242","Lukasz Lenart","2021-09-14 07:27:32 +0200","Merge pull request #37 from apache/dependabot/maven/ognl-ognl-3.2.21"
"669c2ab","Lukasz Lenart","2021-09-14 07:26:08 +0200","Merge pull request #50 from apache/dependabot/maven/org.apache.maven.plugins-maven-pmd-plugin-3.15.0"
"81b8f1c","dependabot[bot]","2021-09-13 19:06:20 +0000","Bump maven-pmd-plugin from 3.14.0 to 3.15.0"
"11e0acd","Lukasz Lenart","2021-09-13 10:54:59 +0200","Merge pull request #49 from sullis/setup-java-v2-cache"
"3973364","Sean C. Sullivan","2021-09-04 20:55:32 -0700","setup-java v2 cache feature"
"a9864f1","Lukasz Lenart","2021-07-21 08:24:07 +0200","Merge pull request #47 from apache/dependabot/maven/org.slf4j-slf4j-api-1.7.32"
"50b8b34","dependabot[bot]","2021-07-20 19:05:18 +0000","Bump slf4j-api from 1.7.31 to 1.7.32"
"f2a63d6","Lukasz Lenart","2021-06-22 06:56:17 +0200","Merge pull request #45 from arturobernalg/feature/instance"
"9fd0177","Lukasz Lenart","2021-06-21 07:42:47 +0200","Merge pull request #44 from arturobernalg/feature/final_var"
"6f2e68d","Arturo Bernal","2021-06-21 07:22:26 +0200","Make final var."
"c901ba5","Arturo Bernal","2021-06-21 07:27:32 +0200","Remove redundant calls of java.lang.Class methods. Replaced with object instanceof."
"4bc4802","Lukasz Lenart","2021-06-20 20:44:53 +0200","Merge pull request #43 from arturobernalg/feature/string"
"d33139f","Lukasz Lenart","2021-06-20 20:43:00 +0200","Merge pull request #42 from arturobernalg/feature/simplify"
"c1132d8","Lukasz Lenart","2021-06-20 20:42:30 +0200","Merge pull request #41 from arturobernalg/feature/catch"
"812a35e","Lukasz Lenart","2021-06-20 20:35:48 +0200","Merge pull request #40 from arturobernalg/feature/java8"
"f90e61a","Arturo Bernal","2021-06-20 17:36:15 +0200","Avoid String concatenation in loops. Replace with StringBuilder.append()."
"d9d6b1f","Arturo Bernal","2021-06-20 17:24:48 +0200","Replace assert by simpler but equivalent calls."
"5165bdd","Arturo Bernal","2021-06-20 17:21:33 +0200","Identical catch sections in a single try statement. Collapse into a multi-catch section."
"ecabbb2","Arturo Bernal","2021-06-20 17:19:10 +0200","Java 8 improvements:"
"bc1091e","Lukasz Lenart","2021-06-19 08:59:22 +0200","Merge pull request #39 from apache/dependabot/maven/org.slf4j-slf4j-api-1.7.31"
"c02980c","dependabot[bot]","2021-06-18 19:04:56 +0000","Bump slf4j-api from 1.7.30 to 1.7.31"
